thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|kdakun|kdkppn|kdbeban|kdjnsban|kdctarik|register|carahitung|prosenphln|prosenrkp|prosenrmp|kppnrkp|kppnrmp|kppnphln|regdam|kdluncuran|kdblokir|uraiblokir|kdib
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CB|522191|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CB|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CB|524119|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CC|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CC|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CC|522191|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CC|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CD|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CD|522191|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CD|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|CD|524119|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|DA|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|DA|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|DB|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|DB|522191|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|003|100|DB|524119|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|004|100|AA|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|004|100|AB|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|004|100|AB|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|004|100|AC|522191|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|004|100|AC|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|004|100|AD|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|006|100|EA|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|006|100|EA|524113|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|007|100|EA|522191|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|007|100|EA|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|994|001|CA|511129|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|994|001|CA|512211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|994|001|CB|511611|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|994|001|CB|511619|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|994|001|CB|511621|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|994|001|CB|511622|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|994|001|CB|511624|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|994|001|CB|511625|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|994|001|CB|511628|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|994|001|CB|511632|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBA|01|51|1|994|001|CB|512212|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBC|01|51|1|001|100|BA|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBC|01|51|1|001|100|BA|522131|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBC|01|51|1|001|100|BA|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBC|01|51|1|001|100|BA|524111|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBC|01|51|1|001|100|BA|524113|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBC|01|51|1|001|100|BB|521211|019|A|0|0| |0|0|0|0| | | | ||00||0
2026|01|527010|015|08|WA|4719|EBC|01|51|1|001|100|BB|522151|019|A|0|0| |0|0|0|0| | | | ||00||0
