thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|urskmpnen|kdib|kdlokus|reflokus|nmlokus
2027|01|015115|015|08|WA|4718|EBA|01|51|2|Z03|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|325237|015|08|CD|6213|FAE|32|52|2|Q04|100| B|Monitoring dan  Evaluasi KUR/Penerusan Pinjaman|00||0|0
2027|01|325237|015|08|CD|6213|FAL|32|52|2|003|100| A|Pelaksanaan Spending Review|00||0|0
2027|01|325237|015|08|CD|6213|FAL|32|52|2|003|100| C|Review Pelaksanaan Anggaran|00||0|0
2027|01|325237|015|08|CD|6213|FAL|32|52|2|003|100| D|Monitoring dan Evaluasi Pelaksanaan Anggaran|00||0|0
2027|01|325237|015|08|CD|6213|FAL|32|52|2|003|100| E|Pengumpulan Informasi/Penajaman Data Fiskal Regional/Penyusunan KFR|00||0|0
2027|01|325237|015|08|CD|6213|FAL|32|52|2|003|100| F|Publikasi Kajian Fiskal Regional (Full Cost)|00||0|0
2027|01|325237|015|08|CD|6213|FAL|32|52|2|003|100| G|Pengumpulan Konfirmasi Informasi Pengelolaan Keuangan Daerah dan Penyusunan Profil Keuangan Daerah|00||0|0
2027|01|325237|015|08|CD|6213|FAL|32|52|2|003|100| H|Monitoring atas Dana Transfer|00||0|0
2027|01|325237|015|08|CD|6213|FAL|32|52|2|003|100| I|Pendampingan Program Makan Bergizi Gratis (MBG)|00||0|0
2027|01|325237|015|08|CD|6213|ABA|32|52|2|001|100| A|Penyusunan Analisis Potensi Investasi dan Pinjaman Daerah|00||0|0
2027|01|325237|015|08|CD|6213|ABA|32|52|2|003|100| A|Koordinasi Pelaksanaan Tugas RCE  ALCo|00||0|0
2027|01|325237|015|08|WA|4715|EBA|32|52|2|959|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|325237|015|08|WA|4715|EBA|32|52|2|962|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|325237|015|08|WA|4715|EBA|32|52|2|962|100| B|Koordinasi Penyusunan ATK PU|00||0|0
2027|01|325237|015|08|WA|4715|EBA|32|52|2|994|002| A|Pelaksanaan Operasional Kantor|00||0|0
2027|01|325237|015|08|WA|4715|EBA|32|52|2|994|002| B|Langganan Daya dan Jasa|00||0|0
2027|01|325237|015|08|WA|4715|EBA|32|52|2|994|002| C|Pelaksanaan Operasional Kantor|00||0|0
2027|01|325237|015|08|WA|4715|EBA|32|52|2|994|002|HP|Honorarium PPNPN|00||0|0
2027|01|325237|015|08|WA|4715|EBA|32|52|2|994|002| L|Pemeliharaan Peralatan dan Mesin|00||0|0
2027|01|325237|015|08|WA|4715|EBA|32|52|2|994|002| M|Pemeliharaan Gedung dan Bangunan|00||0|0
2027|01|325237|015|08|WA|4715|EBA|32|52|2|994|002|MA|Pemeliharaan Rumah Dinas|00||0|0
2027|01|325237|015|08|WA|4715|EBA|32|52|2|994|002|TJ|Jasa Pemeliharaan/Annual Technical Support (ATS)|00||0|0
