thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|ursoutput|sbmkvol|sbmksat|sbmkmin1|sbmkket|kdsb|volsout|volsbk|kdib
2026|01|528544|015|08|WA|4719|EBA|22|51|2|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|528544|015|08|WA|4719|EBA|22|51|2|005|Standar Mutu Layanan - ISO Mutu Layanan|0||0|||8|0|00
2026|01|528544|015|08|WA|4719|EBA|22|51|2|003|Rekomendasi Pengelolaan Organisasi|0||0|||7|0|00
2026|01|528544|015|08|WA|4719|EBC|22|51|2|001|Pengembangan SDM|0||0|||55|0|00
2026|01|528544|015|08|WA|4722|EBD|22|51|2|001|Rekomendasi Penerapan Pengelolaan Risiko, Pengendalian dan Pengawasan Internal|0||0|||2|0|00
2026|01|528544|015|08|WA|4715|EBB|22|51|2|004|Gedung/Bangunan|0||0|||136|0|00
2026|01|528750|015|08|CD|6212|BMB|25|10|2|001|Dukungan Pemberdayaan UMKM untuk Inklusi Pemanfaatan Digipay|0||0|||1|0|00
2026|01|528750|015|08|CD|6212|FAC|25|10|2|001|Komunikasi dan Edukasi Implementasi Aplikasi|0||0|||57|0|00
2026|01|528750|015|08|CD|6212|FAH|25|10|2|001|Edukasi Dalam Rangka Penyusunan Laporan Keuangan Tingkat Kuasa BUN|0||0|||4|0|00
2026|01|528750|015|08|CD|6212|FAL|25|10|2|004|Konsultasi Pencairan Dana|0||0|||9|0|00
2026|01|528750|015|08|CD|6213|FAC|25|10|2|001|Monev Pengembangan Kompetensi KPA, PPK, PPSPM, Bendahara dan Pengelola Perbendaharaan|0||0|||9|0|00
2026|01|528750|015|08|CD|6213|FAE|25|10|2|009|Rekomendasi atas Kinerja Investasi Pemerintah|0||0|||2|0|00
2026|01|528750|015|08|CD|6213|FAL|25|10|2|003|Reviu Belanja Pemerintah|0||0|||1|0|00
2026|01|528750|015|08|CD|6214|FAL|25|10|2|002|Surat Perintah Pencairan/Penarikan/Repayment/Pengesahan Dana|0||0|||2424|0|00
2026|01|528750|015|08|CD|6215|FAH|25|10|2|003|Laporan Keuangan BUN|0||0|||4|0|00
2026|01|528750|015|08|WA|4715|EBA|25|10|2|002|Dukungan Pimpinan dan Keprotokoleran|0||0|||12|0|00
2026|01|528750|015|08|WA|4715|EBA|25|10|2|001|Kerumahtanggaan|0||0|||12|0|00
2026|01|528750|015|08|WA|4715|EBA|25|10|2|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|528750|015|08|WA|4715|EBB|25|10|2|004|Gedung/Bangunan|0||0|||491|0|00
2026|01|528750|015|08|WA|4715|EBD|25|10|2|Z36|Dokumen Pengelolaan Kinerja Organisasi|0||0|||2|0|00
2026|01|528750|015|08|WA|4718|BMB|25|10|2|002|Kehumasan|0||0|||1|0|00
2026|01|528750|015|08|WA|4718|BMB|25|10|2|001|Pembinaan/Edukasi Publik|0||0|||2|0|00
2026|01|528750|015|08|WA|4719|EBA|25|10|2|994|Layanan Perkantoran|0||0|||12|0|00
2026|01|528750|015|08|WA|4719|EBA|25|10|2|004|Hasil Survey/Rekomendasi Kepuasan Pengguna Layanan|0||0|||2|0|00
2026|01|528750|015|08|WA|4719|EBC|25|10|2|001|Pengembangan SDM|0||0|||16|0|00
2026|01|528750|015|08|WA|6990|ABA|25|10|2|001|Rekomendasi Kebijakan terkait Percepatan Pembangunan dan Otonomi Khusus Papua|0||0|||4|0|00
2026|01|527776|015|08|CD|6212|BMB|08|55|2|001|Dukungan Pemberdayaan UMKM untuk Inklusi Pemanfaatan Digipay|0||0|||1|0|00
2026|01|527776|015|08|CD|6212|FAC|08|55|2|002|Bimbingan Teknis Pengelola Keuangan BLU|0||0|||34|0|00
2026|01|527776|015|08|CD|6212|FAH|08|55|2|003|Komunikasi dan Edukasi Penyusunan LKKL dan LKBUN|0||0|||4|0|00
2026|01|527776|015|08|CD|6212|FAH|08|55|2|002|Komunikasi dan Edukasi Dalam Rangka Penyusunan Government Financial Statistic (GFS)|0||0|||7|0|00
2026|01|527776|015|08|CD|6212|FAL|08|55|2|001|Pembinaan Pelaksanaan Anggaran|0||0|||8|0|00
2026|01|527776|015|08|CD|6213|ABA|08|55|2|001|Kajian atas Peluang Investasi dan Pinjaman Daerah|0||0|||2|0|00
2026|01|527776|015|08|CD|6213|FAE|08|55|2|009|Rekomendasi atas Kinerja Investasi Pemerintah|0||0|||2|0|00
2026|01|527776|015|08|CD|6213|FAE|08|55|2|008|ALCo Regional|0||0|||2|0|00
2026|01|527776|015|08|CD|6213|FAL|08|55|2|003|Reviu Belanja Pemerintah|0||0|||4|0|00
2026|01|527776|015|08|CD|6215|FAH|08|55|2|003|Laporan Keuangan BUN|0||0|||4|0|00
2026|01|527776|015|08|CD|6215|FAH|08|55|2|001|Government Financial Statistic (GFS)|0||0|||4|0|00
2026|01|527776|015|08|CD|6216|FAE|08|55|2|002|Rekomendasi Tarif Standar Biaya Masukan|0||0|||1|0|00
2026|01|527776|015|08|WA|4715|EBA|08|55|2|001|Kerumahtanggaan|0||0|||1|0|00
2026|01|527776|015|08|WA|4715|EBA|08|55|2|002|Dukungan Pimpinan dan Keprotokoleran|0||0|||1|0|00
2026|01|527776|015|08|WA|4715|EBA|08|55|2|994|Layanan Perkantoran|0||0|||1|0|00
2026|01|527776|015|08|WA|4715|EBD|08|55|2|Z36|Dokumen Pengelolaan Kinerja Organisasi|0||0|||4|0|00
2026|01|527776|015|08|WA|4715|EBD|08|55|2|Z26|Laporan Keuangan Unit|0||0|||2|0|00
2026|01|527776|015|08|WA|4718|BMB|08|55|2|002|Kehumasan|0||0|||4|0|00
2026|01|527776|015|08|WA|4718|BMB|08|55|2|001|Pembinaan/Edukasi Publik|0||0|||2|0|00
2026|01|527776|015|08|WA|4719|EBA|08|55|2|003|Rekomendasi Pengelolaan Organisasi|0||0|||13|0|00
2026|01|527776|015|08|WA|4719|EBA|08|55|2|994|Layanan Perkantoran|0||0|||1|0|00
2026|01|527776|015|08|WA|4719|EBA|08|55|2|005|Standar Mutu Layanan - ISO Mutu Layanan|0||0|||14|0|00
2026|01|527776|015|08|WA|4719|EBC|08|55|2|001|Pengembangan SDM|0||0|||51|0|00
2026|01|527776|015|08|WA|4722|EBD|08|55|2|001|Rekomendasi Penerapan Pengelolaan Risiko, Pengendalian dan Pengawasan Internal|0||0|||2|0|00
2026|01|527776|015|08|WA|4715|EBB|08|55|2|004|Gedung/Bangunan|0||0|||50|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|001|Komunikasi Peraturan dan Pedoman Mengenai Akuntansi dan Pelaporan Keuangan Pemerintah|0||0|||301|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|002|Komunikasi Peraturan dan Pedoman Mengenai Pembayaran Atas Beban APBN|0||0|||57|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|004|Komunikasi dan Edukasi Peraturan, Ketetapan dan Pedoman Mengenai Investasi Pemerintah|0||0|||190|0|00
2026|01|527010|015|08|CD|6212|AEF|01|51|1|005|Komunikasi dan Edukasi Implementasi Aplikasi Investasi Pemerintah|0||0|||62|0|00
2026|01|527010|015|08|CD|6212|FAC|01|51|1|001|Komunikasi dan Edukasi Implementasi Aplikasi|0||0|||3|0|00
2026|01|527010|015|08|CD|6212|FAC|01|51|1|003|Peningkatan dan Pengembangan Kapasitas Pembina dan Pengelola Keuangan BLU|0||0|||36|0|00
2026|01|527010|015|08|CD|6212|FAC|01|51|1|004|Edukasi Satker terkait Peningkatan Fungsi Aplikasi BIOS|0||0|||156|0|00
2026|01|527010|015|08|CD|6212|FAC|01|51|1|005|Edukasi Penyaluran DAK Fisik dan Dana Desa|0||0|||133|0|00
2026|01|527010|015|08|CD|6212|FAC|01|51|1|007|Penajaman Metode Analytical BLU|0||0|||1|0|00
2026|01|527010|015|08|CD|6212|FAC|01|51|1|008|Standardisasi Kompetensi Pengelola Perbendaharaan dan Edukasi Jabatan Fungsional Bidang Perbendaharaan|0||0|||14678|0|00
2026|01|527010|015|08|CD|6212|FAH|01|51|1|001|Edukasi Dalam Rangka Penyusunan Laporan Keuangan Tingkat Kuasa BUN|0||0|||19|0|00
2026|01|527010|015|08|CD|6212|FAH|01|51|1|002|Komunikasi dan Edukasi Dalam Rangka Penyusunan Government Financial Statistic (GFS)|0||0|||3|0|00
2026|01|527010|015|08|CD|6212|FAH|01|51|1|003|Komunikasi dan Edukasi Penyusunan LKKL dan LKBUN|0||0|||60|0|00
2026|01|527010|015|08|CD|6212|FAL|01|51|1|002|Komunikasi dan Edukasi Dalam Rangka Penerimaan dan Pengeluaran Kas|0||0|||16|0|00
2026|01|527010|015|08|CD|6212|FAN|01|51|1|ZZ1|Pemenuhan Prioritas Direktif Presiden|0||0|||1|0|42
2026|01|527010|015|08|CD|6212|UAL|01|51|1|208|Implementasi Digital Payment Marketplace pada Satker Kementerian Negara/Lembaga (PN)|0||0|||50000|0|00
2026|01|527010|015|08|CD|6213|FAE|01|51|1|001|Monev Pengelolaan Kas Negara|0||0|||2|0|00
2026|01|527010|015|08|CD|6213|FAE|01|51|1|002|Rekomendasi Peningkatan Efektivitas dan Akuntabilitas Pelaksanaan APBN|0||0|||2|0|00
2026|01|527010|015|08|CD|6213|FAE|01|51|1|003|Rekomendasi atas Peningatan Kinerja Keuangan BLU dan Investasi Pemerintah di Daerah|0||0|||6|0|00
2026|01|527010|015|08|CD|6213|FAE|01|51|1|004|Rekomendasi Terkat Kemitraan dengan Perbankan|0||0|||2|0|00
2026|01|527010|015|08|CD|6213|FAE|01|51|1|009|Rekomendasi atas Kinerja Investasi Pemerintah|0||0|||6|0|00
